titulo,descripcion,tipo_usuario,prioridad,etiqueta,que_salio_bien,que_salio_mal,observaciones
Estudiar para examen de matemáticas,Repasar álgebra y cálculo para el parcial del viernes,estudiante,urgente,Estudio,Usar tarjetas de memoria ayudó a memorizar fórmulas. Estudiar en bloques de 25 minutos con descansos de 5 funcionó perfectamente.,Empezar a estudiar el día anterior fue muy tarde. No dormir bien afectó el rendimiento en el examen.,Siempre empezar a estudiar mínimo 3 días antes. Priorizar los temas con más peso en la nota.
Entregar informe de laboratorio,Redactar y entregar el informe de práctica de química,estudiante,alta,Estudio,Hacer el borrador primero sin preocuparse por el formato ahorró tiempo. Revisar con un compañero encontró errores importantes.,Dejar la bibliografía para el final causó confusión sobre qué fuentes usar. El formato APA tomó más tiempo del esperado.,Preparar la plantilla del informe antes de la práctica para solo llenar los datos después.
Preparar exposición grupal,Presentar el proyecto de historia ante la clase,estudiante,alta,Estudio,Ensayar en voz alta tres veces antes redujo los nervios. Dividir el trabajo claramente desde el inicio evitó conflictos.,Un integrante no cumplió su parte a tiempo lo que retrasó todo. No tener un plan B para fallos técnicos fue un error.,Siempre hacer un ensayo general completo el día anterior y tener el material en la nube como respaldo.
Leer capítulos del libro de texto,Leer y resumir 4 capítulos de biología para el lunes,estudiante,media,Estudio,Hacer un resumen de una página por capítulo ayudó a recordar mejor. Leer en la mañana cuando hay más concentración fue clave.,Leer con el celular cerca causó muchas distracciones. Intentar leer todo de una vez fue agotador.,Desactivar notificaciones y usar la técnica de lectura activa subrayando ideas principales.
Completar tarea de programación,Implementar una lista enlazada en Python,estudiante,alta,Estudio,Resolver el problema en papel antes de codificar ahorró muchos errores. Buscar documentación oficial fue más confiable que foros.,Probar el código solo al final acumuló muchos errores difíciles de rastrear. No comentar el código dificultó revisarlo después.,Hacer pruebas pequeñas después de cada función y comentar el código mientras se escribe.
Preparar presentación para cliente,Crear presentación de propuesta de diseño web para cliente nuevo,empleado,urgente,Trabajo,Mostrar ejemplos visuales concretos convenció mejor que solo texto. Practicar las respuestas a posibles preguntas fue muy útil.,La presentación tenía demasiado texto por diapositiva. No conocer bien el presupuesto del cliente generó expectativas incorrectas.,Máximo 5 palabras clave por diapositiva. Investigar al cliente antes de cualquier reunión.
Redactar reporte mensual,Documentar los avances del equipo durante el mes de noviembre,empleado,media,Trabajo,Ir anotando avances semanalmente hizo el reporte final muy rápido. Usar una plantilla estándar ahorró tiempo de formato.,Esperar hasta el último día para recopilar la información de los compañeros causó retrasos. Algunos datos no estaban actualizados.,Crear un documento compartido donde cada miembro del equipo registre sus avances semanalmente.
Organizar reunión de equipo,Coordinar reunión semanal de seguimiento de proyectos,empleado,media,Trabajo,Enviar la agenda con anticipación hizo la reunión más productiva. Limitar la duración a 45 minutos mantuvo el enfoque.,Sin agenda previa la reunión se extendió más de 2 horas sin resultados claros. No asignar responsables para cada punto no generó compromisos.,Siempre enviar agenda 24 horas antes con tiempos asignados para cada punto y terminar con lista de compromisos.
Revisar y aprobar contratos,Revisar los contratos de tres nuevos proveedores,empleado,urgente,Trabajo,Crear una lista de verificación de cláusulas importantes agilizó la revisión. Consultar al área legal en puntos dudosos evitó problemas futuros.,Revisar varios contratos seguidos sin descanso generó errores de concentración. No tomar notas de los cambios solicitados causó confusión.,Revisar un contrato por sesión con descanso entre cada uno y documentar todos los cambios con números de página.
Capacitación en nueva herramienta,Aprender a usar el nuevo software de gestión de proyectos de la empresa,empleado,alta,Trabajo,Seguir los tutoriales oficiales paso a paso fue más efectivo que explorar solo. Practicar con un proyecto real pequeño consolidó el aprendizaje.,Ver todos los videos sin practicar en paralelo hizo que se olvidara rápido lo aprendido. No tomar notas durante la capacitación fue un error.,Practicar cada función nueva inmediatamente después de verla en el tutorial y crear una guía rápida personal de referencia.
